date,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,UVI,Cloud Amount
2022-05-28,1005.275,1008.3333333333334,28.883333333333336,24.2375,77.08333333333333,2.2541666666666664,177.91666666666666,4.879166666666666,180.83333333333334,0.0,0.0,3.125,6.759583333333334
2022-05-29,1005.0750000000002,1008.125,29.099999999999998,24.241666666666664,75.5,2.504166666666667,199.58333333333334,5.091666666666666,197.5,0.0,0.0,2.9583333333333335,8.0
2022-05-30,1004.9208333333332,1007.9791666666666,29.09583333333333,24.287499999999998,75.66666666666667,2.7583333333333333,195.83333333333334,5.904166666666666,195.41666666666666,0.0,0.2,2.625,8.344583333333333
2022-05-31,1006.0291666666666,1009.0875,29.46666666666667,24.770833333333332,76.25,3.4125,184.16666666666666,6.566666666666666,183.75,0.0,0.0,2.8333333333333335,6.9525
2022-06-01,1005.7083333333334,1008.7624999999999,29.504166666666666,24.870833333333334,76.58333333333333,2.475,203.33333333333334,5.333333333333333,203.75,0.0,0.0,3.2083333333333335,5.743333333333332
2022-06-02,1004.8624999999998,1007.9166666666666,29.3,24.8625,77.375,2.408333333333333,230.41666666666666,5.020833333333333,230.41666666666666,0.0,0.0,3.1666666666666665,7.605416666666667
2022-06-03,1005.3541666666666,1008.4083333333333,29.662500000000005,24.3875,73.91666666666667,2.625,210.0,5.625,211.66666666666666,0.0,0.1,3.2083333333333335,5.388749999999999
2022-06-04,1005.9583333333334,1009.0375,27.954166666666666,24.979166666666668,84.04166666666667,2.5041666666666664,162.08333333333334,5.929166666666667,164.16666666666666,13.0,1.9000000000000001,2.4583333333333335,8.044583333333334
2022-06-05,1004.4041666666667,1007.4583333333334,28.9875,24.466666666666665,76.91666666666667,2.5708333333333333,165.0,5.8875,163.33333333333334,8.0,0.4,2.9166666666666665,6.9262500000000005
2022-06-06,1003.1291666666666,1006.1791666666668,28.829166666666666,24.90833333333333,79.66666666666667,2.5999999999999996,184.58333333333334,5.670833333333333,180.0,2.5,0.4,2.1666666666666665,8.875
2022-06-07,1004.2999999999998,1007.4,26.445833333333336,24.6125,89.75,2.408333333333333,160.0,6.037499999999999,151.25,65.5,4.5,1.0,9.318333333333333
2022-06-08,1005.6541666666666,1008.7333333333335,26.741666666666664,23.7375,83.75,3.0208333333333335,147.5,7.166666666666667,151.25,7.5,3.7,1.4583333333333333,9.197083333333333
2022-06-09,1005.8791666666666,1008.9499999999998,27.883333333333336,24.195833333333336,80.91666666666667,3.0333333333333337,159.58333333333334,6.270833333333333,164.16666666666666,11.5,4.4,2.0416666666666665,9.8125
2022-06-10,1005.3125,1008.3791666666666,28.583333333333332,24.462499999999995,78.58333333333333,2.9791666666666665,159.58333333333334,5.958333333333333,160.83333333333334,0.0,0.2,1.375,9.317916666666667
2022-06-11,1006.4708333333333,1009.5458333333332,28.28333333333333,24.229166666666668,79.0,2.7708333333333335,146.25,6.341666666666666,162.91666666666666,24.5,2.0,2.1666666666666665,8.604166666666666
2022-06-12,1006.8000000000001,1009.8625000000001,28.53333333333333,23.78333333333333,76.375,2.216666666666667,159.16666666666666,4.958333333333333,185.41666666666666,10.0,1.0,2.875,8.077916666666667
2022-06-13,1005.4583333333334,1008.5,29.495833333333326,24.008333333333336,72.58333333333333,2.733333333333333,188.33333333333334,5.454166666666667,187.91666666666666,0.0,0.0,2.9166666666666665,8.5625
2022-06-14,1006.4083333333333,1009.4666666666667,29.2375,24.395833333333332,75.45833333333333,2.379166666666667,198.33333333333334,5.1375,199.16666666666666,0.0,0.4,2.0416666666666665,8.875
2022-06-15,1007.7375000000001,1010.7958333333332,29.479166666666668,23.8625,72.25,2.3,197.08333333333334,4.791666666666667,195.41666666666666,0.0,0.0,2.75,8.004166666666666
2022-06-16,1007.6875,1010.75,29.5,24.05,73.16666666666667,2.129166666666667,197.91666666666666,4.558333333333334,203.75,0.0,0.0,2.75,8.495833333333334
2022-06-17,1006.8041666666667,1009.8541666666666,29.816666666666663,24.20416666666667,72.25,2.341666666666667,217.91666666666666,4.829166666666667,225.83333333333334,0.0,0.0,3.0416666666666665,7.736250000000001
2022-06-18,1006.2583333333333,1009.3041666666667,29.962500000000002,24.25,71.95833333333333,2.341666666666667,186.25,4.9624999999999995,190.0,0.0,0.0,3.2083333333333335,6.659583333333333
2022-06-19,1005.8291666666665,1008.8625000000001,30.075,24.504166666666663,72.5,2.75,190.41666666666666,5.541666666666667,192.08333333333334,0.0,0.0,3.1666666666666665,6.13625
2022-06-20,1004.3458333333334,1007.375,30.34583333333333,24.34583333333333,70.75,2.404166666666667,193.75,5.066666666666666,190.0,0.0,0.0,3.2916666666666665,5.706666666666666
2022-06-21,1005.0916666666666,1008.1166666666667,30.270833333333332,24.316666666666666,70.95833333333333,2.4791666666666665,217.08333333333334,5.0125,220.83333333333334,0.0,0.0,2.8333333333333335,7.4558333333333335
